File #,RRLs Present,Frequency (kHz),Poly Order,Range (km/s),RMS (Jy/Beam),Reduced Chi-Squared,AIC,p-test,Notes
0,[138. 139. 140.],"[926.4, 906.6, 887.4]","[2, 2, 1]","[2000.0, 2000.0, 2000.0]","[0.00471, 0.00461, 0.00482]","[2.23e-05, 2.13e-05, 2.32e-05]","[-2523.0, -2501.0, -2418.0]","[0.4322, 0.2288, 0.0468]","['4 ~3 sig spike', 'Hist is kinda triangular', '1 ~4 sig spike; p < 0.05']"
6,[136. 137. 138.],"[967.7, 946.8, 926.4]","[5, 2, 2]","[2000.0, 2000.0, 2000.0]","[0.00451, nan, 0.00474]","[2.07e-05, -0.0, 2.26e-05]","[-2678.0, nan, -2530.0]","[0.2916, nan, 0.4911]","['AIC was -2675 at poly=3. A lower order poly gave greater AIC ', 'f', '']"
7,[133. 134. 135.],"[1034.4, 1011.5, 989.3]","[2, 2, 2]","[2820.0, 2000.0, 2000.0]","[0.0042, 0.00437, 0.00493]","[1.77e-05, 1.92e-05, 2.44e-05]","[-2883.2, -2818.8, -2693.1]","[0.8878, 0.7924, 0.8432]","['e', '4 had AIC -2816', '']"
8,[131. 132. 133.],"[1082.3, 1058.0, 1034.4]","[2, 1, 2]","[3500.0, 2000.0, 2000.0]","[0.00412, 0.00442, 0.00431]","[1.7e-05, 1.95e-05, 1.86e-05]","[-2894.2, -2934.4, -2880.8]","[0.8114, 0.2449, 0.4028]","['e/f', 'poly 4 had AIC -2816', '>5 poly would be needed but has high AIC; 4 sig']"
9,[129. 130.],"[1133.3, 1107.4]","[1, 2]","[2000.0, 2000.0]","[0.00443, 0.00419]","[1.96e-05, 1.77e-05]","[-3139.4, -3103.2]","[0.385, 0.8211]","['', '3 sig']"
10,[127. 128.],"[1187.4, 1159.9]","[4, 5]","[3100.0, 2000.0]","[0.00631, 0.0053]","[4.02e-05, 2.84e-05]","[-3120.7, -3101.1]","[0.3154, 0.4643]","['b?', 'b']"
11,[125. 126.],"[1245.1, 1215.8]","[3, 3]","[2000.0, 2600.0]","[0.00737, 0.00604]","[5.53e-05, 3.67e-05]","[-1052.7, -3190.2]","[0.0, 0.2552]","['f', 'poly 3 gave lower AIC than poly 2 ']"
12,[124. 125.],"[1275.4, 1245.1]","[0, 0]","[2000.0, 1800.0]","[nan, nan]","[0.0, 0.0]","[nan, nan]","[nan, nan]","['f', 'f']"
13,[122. 123.],"[1338.9, 1306.6]","[2, 1]","[2000.0, 2000.0]","[0.00414, 0.00413]","[1.72e-05, 1.71e-05]","[-3758.2, -3673.5]","[0.8731, 0.1607]","['', '']"
14,[120. 121.],"[1406.6, 1372.2]","[0, 1]","[2000.0, 2000.0]","[0.00404, 0.00409]","[1.62e-05, 1.67e-05]","[-3790.7, -3856.0]","[0.1419, 0.3583]","['Baseline is already very near 0', '']"
1,[119. 120.],"[1442.3, 1406.6]","[0, 1]","[2000.0, 3000.0]","[0.00387, 0.00416]","[1.49e-05, 1.73e-05]","[-4097.3, -3964.7]","[0.1586, 0.8731]","['6 ~3 sig', 'e']"
2,[117. 118.],"[1517.2, 1479.1]","[0, 1]","[2000.0, 2000.0]","[0.00409, 0.00388]","[1.66e-05, 1.5e-05]","[-2450.8, -4204.7]","[0.04, 0.1315]","['e/f', 'poly 11 has AIC of -4203.9; b?']"
3,[116. 117.],"[1556.6, 1517.2]","[0, 3]","[2000.0, 2000.0]","[nan, 0.00411]","[0.0, 1.7e-05]","[nan, -4266.9]","[nan, 0.3711]","['f', '']"
4,[115.],[1597.4],[0],[2000.0],[0.00633],[3.99e-05],[-2195.2],[0.0064],['f']
5,[114.],[1639.6],[4],[2000.0],[0.00464],[2.17e-05],[-4502.6],[0.0351],"['~3 4sig, poly 4 gave best AIC, p < 0.05']  "
