46,47,50,51,52,53,_with_Optical_Depth_Units
138,138,136,139,139,138,
139,140,138,140,140,139,
140,139,134,136,136,140,
136,136,135,138,134,133,
134,138,132,134,135,134,
135,134,133,132,132,135,
138,135,129,133,133,131,
132,132,130,129,129,132,
133,129,122,130,130,133,
129,130,123,122,122,129,
130,122,120,123,123,130,
126,123,121,121,121,127,
122,117,119,119,119,128,
123,114,118,118,118,125,
120,119,117,117,117,126,
121,118,114,114,114,124,
119,121,,,,125,
117,120,,,,122,
,,,,,123,
,,,,,120,
,,,,,121,
,,,,,119,
,,,,,120,
,,,,,117,
,,,,,118,
,,,,,116,
,,,,,117,
,,,,,115,
,,,,,136,
,,,,,137,
,,,,,138,
